i,j,sigma
4,18,-9.628684568662589e-05
4,19,-4.3168206431753064e-05
4,20,4.6213360657621484e-05
4,21,1.4141268550775124e-05
4,22,-7.060646170686013e-05
4,23,9.189529788331245e-05
4,24,7.786794367474782e-06
4,25,-1.8019379288011267e-06
4,26,5.614614959587953e-05
4,27,5.073922414370567e-05
4,28,3.336687398685017e-06
4,29,2.1703406603456527e-05
4,30,4.9865312831493306e-05
4,31,-2.6903018749516323e-05
4,32,-4.246881122191156e-06
4,33,2.7750247341275466e-05
4,34,0.00010162914743746932
4,35,2.3902662919911455e-06
4,36,-4.129031746134792e-05
4,37,-2.674568636818172e-05
4,38,8.095370544350923e-05
4,39,-5.619726741646682e-05
4,40,2.7486495593545525e-05
4,41,1.6963957166009186e-05
4,42,-3.3615168013237555e-05
4,43,2.5499085387487636e-05
4,44,6.003341598016693e-05
4,45,-4.3586752286002866e-05
4,46,-1.7108964427308623e-05
4,47,7.484777294013422e-05
4,48,4.818628892786053e-05
4,49,-1.3038669818232224e-05
4,50,-3.068159508786696e-05
5,1,8.076152634001344e-05
5,2,5.9665409681874077e-05
5,3,-3.951922558395245e-06
5,4,-1.6806978473109446e-05
5,5,0.0003124104522590304
5,6,5.190612103437753e-05
5,7,-3.8436382643986195e-05
5,8,8.255480943768366e-05
5,9,-4.1284207100397446e-05
5,10,5.5140197525054954e-06
5,11,-2.8037668362731834e-05
5,12,-7.834366114613912e-05
5,13,-9.36967077136282e-05
5,14,-1.1062459067753939e-07
5,15,-4.825921353866598e-05
5,16,2.2743500830683602e-05
5,17,-0.00017358754391006646
5,18,1.5073466908245864e-05
5,19,-0.00012402893501599303
5,20,1.2350085444377351e-05
5,21,2.0663850146568457e-05
5,22,0.00013677586212912555
5,23,-6.6567226623827526e-06
5,24,-3.653161545673522e-05
5,25,1.9463388874376216e-05
5,26,-4.2016524066472604e-05
5,27,-3.444160059310908e-05
5,28,-7.607908328622977e-05
5,29,-4.063704803465811e-05
5,30,1.0316313979870343e-05
5,31,5.591526382707517e-05
5,32,-6.41082579757717e-05
5,33,-7.2183012052581e-05
5,34,-2.7781971727745226e-05
5,35,8.820642139215709e-07
5,36,-1.7297098556015783e-05
5,37,-6.299226322522136e-05
5,38,-6.550038557208117e-05
5,39,-1.8609770323317718e-05
5,40,9.187497766492973e-05
5,41,-2.30059691341525e-05
5,42,-2.6424254222177997e-05
5,43,-1.9018384417953524e-05
5,44,7.091073674958977e-05
5,45,3.939236731875872e-06
5,46,-5.209914661524832e-05
5,47,-8.502823068559834e-05
5,48,-3.99448531844525e-05
5,49,-8.966820543443865e-05
5,50,-6.525331942393253e-05
6,1,9.504144918041177e-05
6,2,2.4515527191387494e-05
6,3,-2.8779395594160514e-05
6,4,1.823486282474385e-05
6,5,5.190612103437753e-05
6,6,0.00018389122273516467
6,7,-1.1153831521264096e-05
6,8,1.7650544266518385e-05
6,9,-5.2327535012669525e-05
6,10,-2.338845887329492e-05
6,11,-3.185037069239319e-05
6,12,3.825954108233669e-05
6,13,-2.6798080973948524e-05
6,14,1.8937493264061425e-06
6,15,4.442206088370908e-05
6,16,3.6987330085912817e-05
6,17,-2.5313743902590088e-05
6,18,-6.151869313001851e-05
6,19,-9.87068644621686e-06
6,20,-1.8890064334330727e-05
6,21,-3.327394787452731e-05
6,22,6.955830499029516e-05
6,23,2.959867833896157e-05
6,24,-3.726190359444208e-05
6,25,5.605424624564337e-05
6,26,1.1482302812150435e-05
6,27,-3.619441099177647e-05
6,28,-1.0024288317849288e-05
6,29,-3.8948403537407246e-05
6,30,2.348454270001924e-05
6,31,4.32283819009087e-05
6,32,7.390959081537059e-07
6,33,-3.340756845813887e-05
6,34,1.4934843482863172e-05
6,35,-7.363955404684606e-05
6,36,-3.502435300293186e-05
6,37,-6.31920650910384e-05
6,38,9.191505360899461e-07
6,39,-1.78082767605949e-05
6,40,-6.755675254340593e-06
6,41,1.048612795051955e-05
6,42,-3.215742086461588e-05
6,43,2.9379934826131694e-05
6,44,1.6815826798457095e-05
6,45,-3.8121528823669204e-05
6,46,4.591191875186938e-05
6,47,-1.3188338675247286e-05
6,48,6.752137496073467e-05
6,49,-4.6646723687670405e-05
6,50,-6.976706360941904e-05
7,1,1.883214166802741e-05
7,2,-6.890895943872806e-05
7,3,7.6330831185303e-06
7,4,7.367334539021844e-05
7,5,-3.8436382643986195e-05
7,6,-1.1153831521264096e-05
7,7,0.0003018441666647014
7,8,-9.220370975878715e-05
7,9,-2.1425286518016417e-05
7,10,7.550209222429623e-05
7,11,7.785952230596454e-05
7,12,-9.540126628297113e-05
7,13,4.156034165879e-05
7,14,-8.782397632638534e-05
7,15,8.39936427060095e-05
7,16,-0.00010795588464166005
7,17,0.00010110422089159763
7,18,-5.285657861298263e-05
7,19,-2.1154009090041746e-05
7,20,3.118214655442303e-06
7,21,3.4220861140050606e-05
7,22,1.231410544075673e-05
7,23,9.896644584251514e-05
7,24,-3.3921151729573713e-06
7,25,2.2442910943468345e-05
7,26,2.4318377570230052e-05
7,27,-3.660405044692275e-05
7,28,3.834464789639753e-06
7,29,1.6209280865657827e-06
7,30,4.756772903721937e-05
7,31,-2.7623721710375367e-05
7,32,3.751561167455633e-05
7,33,0.00010681696557358624
7,34,8.372152730562845e-05
7,35,7.107978112360951e-05
7,36,-3.7681411821965175e-05
7,37,5.753882018825997e-05
7,38,6.122274026645445e-05
7,39,3.604045254085688e-05
7,40,5.948502745766134e-05
7,41,3.4912734494575296e-05
7,42,-7.674686745893545e-06
7,43,3.077232431346789e-05
7,44,4.089206699817104e-05
7,45,7.210567611146891e-06
7,46,9.859126452732896e-05
7,47,6.003124442505938e-05
7,48,6.147887234500219e-06
7,49,-5.6610842970474445e-05
7,50,-7.847282249047577e-07
8,1,2.448836848782788e-05
8,2,7.819938054169233e-05
8,3,-7.179616989237995e-06
8,4,-0.00013213115031379598
8,5,8.255480943768366e-05
8,6,1.7650544266518385e-05
8,7,-9.220370975878715e-05
8,8,0.00035578497788997277
8,9,-8.293558228334944e-06
8,10,-6.616632053683257e-05
8,11,-6.933030018420585e-05
8,12,2.7249923725829225e-05
8,13,-0.00010524388361143644
8,14,0.00011530344968185615
8,15,-7.346731154071336e-05
8,16,0.00010842848318761634
8,17,-0.00013409632220604583
8,18,5.304384908170595e-05
8,19,9.991145532170585e-06
8,20,5.6670686653689696e-05
8,21,-2.2313732184799604e-05
8,22,0.00013890853197081018
8,23,-6.007530450461405e-05
8,24,1.6166353721482088e-05
8,25,-2.6492186493355222e-06
8,26,2.3372001078942294e-05
8,27,-9.424735842456667e-05
8,28,-1.8682148888525063e-05
8,29,-6.950577703948422e-05
8,30,3.222319241504024e-05
8,31,-1.1100290925086373e-05
8,32,-4.7660924920611374e-05
8,33,-5.7297034824937066e-05
8,34,-0.00018660146003484965
8,35,-7.629635025223789e-06
8,36,4.119303554276292e-05
8,37,-6.20774115909347e-05
8,38,-9.132907790226163e-05
8,39,9.30143196342377e-05
8,40,-2.069597277055478e-05
8,41,-4.72606477444301e-05
8,42,3.825938655194223e-05
8,43,-9.044428128058319e-05
8,44,2.086264398222848e-06
8,45,1.6750209516167213e-05
8,46,2.187632615802119e-05
8,47,-0.00012162483870598473
8,48,-7.509353163474454e-05
8,49,-9.072191915948466e-05
8,50,-1.722262852777554e-05
9,1,-8.036414250822484e-05
9,2,-4.094637460537695e-05
9,3,-2.4330448588226765e-05
9,4,-2.2486769175730688e-05
9,5,-4.1284207100397446e-05
9,6,-5.2327535012669525e-05
9,7,-2.1425286518016417e-05
9,8,-8.293558228334944e-06
9,9,0.0002654153715011101
9,10,8.172239352200767e-05
9,11,-3.266350220814395e-05
9,12,-8.09226691673684e-05
9,13,-4.599496064599834e-06
9,14,-1.9982445095749262e-05
9,15,-9.315978047518293e-05
9,16,-2.8945034822827105e-06
9,17,1.553821200670763e-05
9,18,4.753921517274914e-05
9,19,4.939657543224706e-05
9,20,-3.340850735918161e-05
9,21,0.00010837098533780588
9,22,-5.1861311834320935e-05
9,23,-8.159364026864994e-05
9,24,6.938370942218241e-05
9,25,-8.570404779399843e-06
9,26,-1.3936245314276991e-05
9,27,1.4432722625500345e-05
9,28,7.803392610149369e-05
9,29,3.589801405493482e-05
9,30,-1.4547427401583532e-05
9,31,-9.09082572513506e-06
9,32,1.2118148843349084e-05
9,33,2.5104562749513217e-05
9,34,-2.8761028286414655e-05
9,35,3.2826914863092645e-05
9,36,5.080163583501165e-05
9,37,-4.7834828290766334e-05
9,38,-3.930385881194521e-05
9,39,6.199861651740326e-05
9,40,-9.11332842139365e-05
9,41,-2.461850440662293e-05
9,42,5.5004760765810114e-05
9,43,-4.175680835446846e-05
9,44,-3.525535254888298e-07
9,45,1.091465694422759e-05
9,46,-9.108850108641732e-05
9,47,8.641478842077522e-06
9,48,-3.688712164036841e-05
9,49,3.1949359903545485e-05
9,50,6.243116662075814e-05
10,1,4.8668520669601633e-05
10,2,-1.4381579471672721e-05
10,3,3.831851781375697e-05
10,4,6.945580314376156e-05
10,5,5.5140197525054954e-06
10,6,-2.338845887329492e-05
10,7,7.550209222429623e-05
10,8,-6.616632053683257e-05
10,9,8.172239352200767e-05
10,10,0.00038334914066724945
10,11,-3.7961504037681463e-05
10,12,-0.00015306684040261232
10,13,5.0142540467614885e-05
10,14,-3.332640749753212e-05
10,15,-1.231146613294373e-05
10,16,-3.6202434254872645e-05
10,17,-2.0149652759160133e-05
10,18,5.2311587525102124e-05
10,19,-8.965833745112183e-05
10,20,5.637957515863843e-05
10,21,0.00010056546718561193
10,22,-3.433157253186155e-06
10,23,2.9371146182025632e-05
10,24,-1.9482431062926585e-06
10,25,4.579894164272205e-05
10,26,1.2383546278178958e-06
10,27,-3.518409612111849e-05
10,28,6.402897476615244e-05
10,29,3.858414365436111e-05
10,30,9.7724073101155e-05
10,31,-1.9567457036904186e-05
10,32,-5.71336470778698e-05
10,33,6.663047959521406e-05
10,34,-4.333481121295462e-05
10,35,-2.7015212306772258e-05
10,36,6.216259506636281e-06
10,37,4.823887095988384e-05
10,38,5.8733891114401394e-05
10,39,-6.381584262992458e-06
10,40,-9.470984739476114e-05
10,41,3.384110542050967e-05
10,42,1.1570809317992652e-05
10,43,-2.908187323540915e-05
10,44,0.00010079116446574737
10,45,3.878435108565197e-05
10,46,-6.290851612195575e-05
10,47,-2.2002166532527924e-05
10,48,-4.364875269721291e-05
10,49,-9.31304020889127e-05
10,50,-7.360170029844105e-05
11,1,-2.1728788231309273e-05
11,2,-1.0208116008387878e-05
11,3,-2.05869309352092e-05
11,4,8.37762515269457e-06
11,5,-2.8037668362731834e-05
11,6,-3.185037069239319e-05
11,7,7.785952230596454e-05
11,8,-6.933030018420585e-05
11,9,-3.266350220814395e-05
11,10,-3.7961504037681463e-05
11,11,0.00021926444831127075
11,12,-2.7442855456303084e-05
11,13,-7.549107731364388e-06
11,14,-4.7737788222847724e-05
11,15,-1.2783970795776534e-05
11,16,-9.581230330632278e-05
11,17,1.8746678023819388e-05
11,18,3.174143238354514e-05
11,19,-2.4754064588192834e-05
11,20,-3.3615194982303756e-05
11,21,-1.5191860613869197e-05
11,22,-6.2113294730735096e-06
11,23,-2.5298344408281744e-05
11,24,-3.835312885935098e-05
11,25,-1.659660026940477e-05
11,26,-7.393102933799782e-06
11,27,5.762426513075205e-06
11,28,-3.798742927307753e-05
11,29,4.2057231752682194e-07
11,30,-2.8483629218393038e-05
11,31,3.3452608263864185e-06
11,32,3.851609590138527e-05
11,33,4.4273242288155245e-05
11,34,7.732208687842472e-05
11,35,4.2704852077116055e-05
11,36,-6.110783612542952e-06
11,37,0.00010919135957618283
11,38,4.53176992182579e-05
11,39,-2.896932769072683e-05
11,40,9.846261628542096e-05
11,41,3.360828263815587e-05
11,42,-4.191956341495157e-05
11,43,7.674749564288076e-05
11,44,-6.323792684781038e-06
11,45,1.439909126141329e-05
11,46,3.1621330596749664e-05
11,47,3.4197202992596736e-05
11,48,-1.3405830605626987e-05
11,49,1.7152568363201366e-05
11,50,6.80213424760146e-05
12,1,1.3756446604433668e-05
12,2,4.805098686692816e-05
12,3,3.251267136536258e-06
12,4,-3.783169892386255e-05
12,5,-7.834366114613912e-05
12,6,3.825954108233669e-05
12,7,-9.540126628297113e-05
12,8,2.7249923725829225e-05
12,9,-8.09226691673684e-05
12,10,-0.00015306684040261232
12,11,-2.7442855456303084e-05
12,12,0.00031887586333008335
12,13,4.775142387259429e-05
12,14,6.473403428363705e-05
12,15,3.704324553250702e-05
12,16,8.112215248514787e-05
12,17,6.404820497532436e-05
12,18,-4.3390813621353473e-05
12,19,9.020581355597795e-05
12,20,-3.9777170192004745e-05
12,21,-0.00011873923969438094
12,22,-2.033562924665412e-05
12,23,-1.62558098539227e-05
12,24,-1.7323520635329563e-05
12,25,-2.8542535416374307e-06
12,26,1.4768419056530927e-05
12,27,-2.1488403873633807e-06
12,28,-5.404318004152265e-06
12,29,-1.6478010758231237e-05
12,30,-3.252474639345398e-05
12,31,-4.718271434064763e-06
12,32,4.78020873627011e-05
12,33,-4.386785662206971e-05
12,34,1.6746515150989316e-05
12,35,-5.625403175505134e-05
12,36,-1.891859230105779e-05
12,37,9.450268806343921e-06
12,38,-3.605368596109487e-07
12,39,-3.8137589243535724e-05
12,40,-7.571388522877205e-05
12,41,2.5868060750379886e-05
12,42,-2.7443864328872114e-06
12,43,5.103017104108653e-06
12,44,-7.494609017761906e-05
12,45,-2.135683023795954e-05
12,46,7.814201935685646e-05
12,47,1.4026365505024019e-05
12,48,7.711813805116282e-05
12,49,8.40819521401671e-05
12,50,-5.4549768330472945e-06
13,1,-2.071691746725807e-05
13,2,-8.479727396619108e-05
13,3,7.603983290712148e-05
13,4,7.258885048870879e-05
13,5,-9.36967077136282e-05
13,6,-2.6798080973948524e-05
13,7,4.156034165879e-05
13,8,-0.00010524388361143644
13,9,-4.599496064599834e-06
13,10,5.0142540467614885e-05
13,11,-7.549107731364388e-06
13,12,4.775142387259429e-05
13,13,0.00033416975283385926
13,14,3.800707133277194e-05
13,15,0.00010947535757316418
13,16,4.965825348090469e-05
13,17,0.00010840545928379295
13,18,-8.108070435843798e-05
13,19,4.636224546050333e-05
13,20,3.249446518470253e-05
13,21,-3.3487376618085656e-05
13,22,-8.837229168880992e-05
13,23,7.426892527928101e-05
13,24,-4.838601321091349e-05
13,25,-2.815269771838094e-05
13,26,1.5064497930132554e-05
13,27,-2.333071187549999e-05
13,28,7.362815900464e-05
13,29,3.603247687564899e-05
13,30,0.0001432079695781696
13,31,-5.4563607104336136e-05
13,32,-4.755116536526514e-06
13,33,6.489345703879684e-05
13,34,6.790780670154946e-05
13,35,9.187458243346335e-06
13,36,-2.8214913485960642e-05
13,37,-6.21184066122119e-06
13,38,8.777866216418295e-05
13,39,-4.8684868049505645e-05
13,40,-7.997461816919212e-05
13,41,7.047636355775335e-05
13,42,-2.7377251632270336e-06
13,43,-1.1323527155787526e-05
13,44,-4.5805276553074845e-06
13,45,2.8967724955576946e-05
13,46,2.8129547991751204e-05
13,47,0.0001020238681245575
13,48,5.093041294042344e-06
13,49,-3.891908132034589e-06
13,50,-2.3364260671762318e-05
14,1,-7.982097450446955e-07
14,2,7.730359885581789e-06
14,3,-8.471164003063042e-06
14,4,-5.726180770477637e-05
14,5,-1.1062459067753939e-07
14,6,1.8937493264061425e-06
14,7,-8.782397632638534e-05
14,8,0.00011530344968185615
14,9,-1.9982445095749262e-05
14,10,-3.332640749753212e-05
14,11,-4.7737788222847724e-05
14,12,6.473403428363705e-05
14,13,3.800707133277194e-05
14,14,0.0002638823075098043
14,15,-3.6649803201665864e-05
14,16,0.00012569572301150678
14,17,-7.094680519818068e-05
14,18,1.4710297095053604e-05
14,19,5.5513578118215906e-05
14,20,6.69117248550385e-05
14,21,-6.967074661015806e-05
14,22,4.689425580122328e-06
14,23,-2.2760325298138606e-06
14,24,-6.175901966684762e-05
14,25,3.059365490565244e-06
14,26,1.196425146720281e-05
14,27,-4.627529798551248e-05
14,28,3.0930193736868836e-05
14,29,-4.225719917480684e-05
14,30,5.209962786718312e-05
14,31,8.887837879766526e-06
14,32,-3.543782396545653e-05
14,33,-1.3767722079598136e-05
14,34,-0.00013007899955200271
14,35,-5.847320326394945e-05
14,36,1.9647021975269213e-05
14,37,1.4739915383367243e-05
14,38,2.6902155736286776e-05
14,39,-2.985464253955546e-05
14,40,-0.00010055777954515416
14,41,-9.086685904759506e-06
14,42,-1.152134348362899e-05
14,43,-2.1889020132640665e-05
14,44,6.2992539106591685e-06
14,45,1.9873182910079163e-05
14,46,3.1886092954080535e-05
14,47,-8.686546606620632e-05
14,48,-3.6343081774439475e-05
14,49,-8.816399761974651e-05
14,50,-1.8444038190656202e-05
15,1,3.5445190108315615e-05
15,2,-0.00012616494169599078
15,3,7.653611134481564e-05
15,4,0.0001339222129753032
15,5,-4.825921353866598e-05
15,6,4.442206088370908e-05
15,7,8.39936427060095e-05
15,8,-7.346731154071336e-05
15,9,-9.315978047518293e-05
15,10,-1.231146613294373e-05
15,11,-1.2783970795776534e-05
15,12,3.704324553250702e-05
15,13,0.00010947535757316418
15,14,-3.6649803201665864e-05
15,15,0.0004384778726602579
15,16,-1.6882767744568024e-06
15,17,0.00012359950227294102
15,18,-0.00020463790534169034
15,19,-5.62646144562982e-05
15,20,0.00011600228517420313
15,21,-9.23547161803472e-05
15,22,7.0182552420055915e-06
15,23,0.00012051045629510893
15,24,2.3903738821899938e-05
15,25,-2.4291583649311113e-05
15,26,3.180374786459208e-05
15,27,5.206368209047577e-06
15,28,1.0397438576443563e-05
15,29,1.7190699501925516e-05
15,30,0.0001935127808602955
15,31,-0.00011366911533110793
15,32,3.5054298208701954e-05
15,33,1.2097530248560515e-05
15,34,3.4584255417557316e-05
15,35,-3.7116899371986534e-05
15,36,-8.454346841417937e-05
15,37,-7.334768259947986e-05
15,38,9.2613107622623e-05
15,39,-5.339574496516621e-05
15,40,6.131858714816572e-05
15,41,3.6533078871961504e-05
15,42,-5.794917442582961e-05
15,43,5.3137447911085124e-05
15,44,-3.511507796474797e-05
15,45,-6.977970852757733e-05
15,46,1.8819576548121186e-05
15,47,0.00013445500023288255
15,48,3.724771330204347e-05
15,49,-4.539781258545839e-05
15,50,-6.31534056869578e-05
16,1,3.313087925343057e-05
16,2,1.1935183066417818e-05
16,3,4.159137071116008e-06
16,4,-4.751392329418104e-05
16,5,2.2743500830683602e-05
16,6,3.6987330085912817e-05
16,7,-0.00010795588464166005
16,8,0.00010842848318761634
16,9,-2.8945034822827105e-06
16,10,-3.6202434254872645e-05
16,11,-9.581230330632278e-05
16,12,8.112215248514787e-05
16,13,4.965825348090469e-05
16,14,0.00012569572301150678
16,15,-1.6882767744568024e-06
16,16,0.0002543415006110377
16,17,-4.827695351623899e-05
16,18,-3.0172781986149247e-05
16,19,6.541963190966605e-05
16,20,3.173117986447085e-05
16,21,-4.9536972069633745e-05
16,22,2.483427776924246e-05
16,23,1.1398163025637081e-05
16,24,-4.148329231658245e-05
16,25,1.2825761941694908e-05
16,26,-1.0107446046523561e-07
16,27,-4.987755281345092e-05
16,28,4.693359999169502e-05
16,29,-2.9845650319617364e-05
16,30,7.318596731388078e-05
16,31,1.874200772419043e-05
16,32,-4.674722524943495e-05
16,33,-4.542532974759246e-05
16,34,-9.683011267425825e-05
16,35,-7.555843199151306e-05
16,36,9.458339348943604e-06
16,37,-0.00010229897032034079
16,38,-2.2231421757374916e-05
16,39,4.808179984074292e-06
16,40,-9.812119534893176e-05
16,41,-1.1007618134623399e-05
16,42,1.1525520119489835e-05
16,43,-4.387332049015084e-05
16,44,-2.2927624073562632e-05
16,45,4.568270374089572e-06
16,46,1.3506358841284885e-05
16,47,-4.053826610543776e-05
16,48,3.436517395568243e-06
16,49,-5.192124668929248e-05
16,50,-6.018475853999429e-05
17,1,-5.128047459500038e-05
17,2,-9.871359312614516e-05
17,3,1.1718119443721654e-05
17,4,5.47872519920672e-05
17,5,-0.00017358754391006646
17,6,-2.5313743902590088e-05
17,7,0.00010110422089159763
17,8,-0.00013409632220604583
17,9,1.553821200670763e-05
17,10,-2.0149652759160133e-05
17,11,1.8746678023819388e-05
17,12,6.404820497532436e-05
17,13,0.00010840545928379295
17,14,-7.094680519818068e-05
17,15,0.00012359950227294102
17,16,-4.827695351623899e-05
17,17,0.00034909271116608176
17,18,-0.00010029049321669633
17,19,0.00010856168587708548
17,20,-5.0427975239459505e-05
17,21,-1.538999580979243e-05
17,22,-0.00010592103131241551
17,23,8.020602190235776e-05
17,24,5.917476925692075e-05
17,25,-3.5829537749747495e-06
17,26,-2.058194606838865e-05
17,27,4.107307962075428e-05
17,28,6.058225414186369e-05
17,29,5.525108649187351e-05
17,30,-1.754566458805792e-05
17,31,-5.122259365545967e-05
17,32,0.0001071219410081788
17,33,7.60783521952926e-05
17,34,9.118519058801912e-05
17,35,3.841269994435256e-05
17,36,-3.51238631727994e-05
17,37,2.7116943007449762e-05
17,38,3.333155874843522e-05
17,39,2.4478093181551544e-05
17,40,-5.6626642422228745e-05
17,41,2.1726430828481812e-05
17,42,3.4094197687816626e-05
17,43,2.4249551761681576e-05
17,44,-9.230585349213521e-05
17,45,-1.642642951494118e-05
17,46,8.323554314812515e-05
17,47,0.00012330801466053462
17,48,7.153212770178615e-05
17,49,0.00010544141154672093
17,50,3.1496432190115854e-05
18,1,-1.7640823573575128e-05
18,2,0.00010728341603637937
18,3,-1.2821952974921128e-05
18,4,-9.628684568662589e-05
18,5,1.5073466908245864e-05
18,6,-6.151869313001851e-05
18,7,-5.285657861298263e-05
18,8,5.304384908170595e-05
18,9,4.753921517274914e-05
18,10,5.2311587525102124e-05
18,11,3.174143238354514e-05
18,12,-4.3390813621353473e-05
18,13,-8.108070435843798e-05
18,14,1.4710297095053604e-05
18,15,-0.00020463790534169034
18,16,-3.0172781986149247e-05
18,17,-0.00010029049321669633
18,18,0.00029495297013030103
18,19,-2.4735745442568183e-05
18,20,-3.117228444146754e-05
18,21,4.711080483811912e-05
18,22,4.505858651307274e-06
18,23,-0.00010337948329114162
18,24,-1.687116451312068e-05
18,25,-8.307082385362762e-06
18,26,-3.264396177207121e-05
18,27,-2.1038710383190046e-07
18,28,-2.003560583200357e-05
18,29,1.3364316505451364e-05
18,30,-9.24181988501026e-05
18,31,3.685068478209243e-05
18,32,-5.241593502991803e-05
18,33,-8.190902531228619e-06
18,34,-6.931271085040008e-05
18,35,6.816466660893699e-06
18,36,7.059937269252282e-05
18,37,0.00010882226137891704
18,38,-4.334866001034327e-05
