i,j,sigma
5,10,-5.56665230258363e-05
5,11,4.95475014166516e-05
5,12,-6.207762952638717e-06
5,13,6.789771023356367e-06
5,14,1.328765336122182e-05
5,15,3.12352515477594e-05
5,16,-1.58926326604563e-05
5,17,2.505559361504246e-06
5,18,-1.866526049624217e-05
5,19,1.590825697066464e-05
5,20,3.8085957677679236e-05
6,1,6.8714801277091375e-06
6,2,8.511959986534739e-05
6,3,-6.378300447084287e-05
6,4,-1.1443000222679255e-06
6,5,-7.428428312726714e-06
6,6,0.00020685504482769671
6,7,-6.645896134588433e-05
6,8,5.6152827798260955e-05
6,9,9.016274934588982e-05
6,10,-2.4407628522089536e-05
6,11,5.899477530392273e-05
6,12,3.197366950010884e-06
6,13,4.045678079432641e-05
6,14,-3.554312693424738e-05
6,15,2.931459258431129e-05
6,16,-8.877775491207446e-05
6,17,5.7954446964455445e-05
6,18,3.7156553970702055e-05
6,19,-8.22369121759871e-05
6,20,1.068528506347402e-05
7,1,8.628368849877918e-05
7,2,-9.780560890344889e-05
7,3,4.488749685505193e-05
7,4,4.386415172365157e-05
7,5,-3.8578295461129594e-06
7,6,-6.645896134588433e-05
7,7,0.00024319654104050216
7,8,-6.328507330857757e-05
7,9,-3.8028981886827307e-05
7,10,0.0001267705106133372
7,11,-0.0001213413152948378
7,12,4.4363250004885326e-05
7,13,-2.056825196374359e-05
7,14,4.2735911968389494e-05
7,15,-1.6031314543008345e-05
7,16,0.00015957043512361657
7,17,-2.6194336316348787e-05
7,18,0.00016007529400415699
7,19,6.446122758758123e-05
7,20,2.591395407724394e-05
8,1,-1.8410988391336236e-05
8,2,4.40129185820073e-05
8,3,-4.0684850184498146e-05
8,4,-5.0603487064435506e-05
8,5,-6.912967822693362e-06
8,6,5.6152827798260955e-05
8,7,-6.328507330857757e-05
8,8,0.00015552612635256964
8,9,3.7175746288208106e-06
8,10,-4.728691534976304e-05
8,11,5.9356656553056014e-05
8,12,-9.353611993496102e-06
8,13,-6.781810268884389e-06
8,14,-2.814612931964303e-05
8,15,3.0131023201219493e-05
8,16,-3.669113700356346e-05
8,17,4.582011653839005e-05
8,18,-6.18369910132471e-05
8,19,-6.082114508557088e-05
8,20,1.0379264408198802e-05
9,1,-3.49164405294204e-05
9,2,0.000124328875748157
9,3,2.1278999848570622e-05
9,4,0.00010640930185193036
9,5,7.630180394910268e-05
9,6,9.016274934588982e-05
9,7,-3.8028981886827307e-05
9,8,3.7175746288208106e-06
9,9,0.00037952929493690945
9,10,-4.204987022758603e-05
9,11,0.0001023910675419695
9,12,-1.780593970065463e-05
9,13,8.773426357434259e-05
9,14,-6.160566036086583e-06
9,15,7.888306278625342e-05
9,16,-0.00013689085166727707
9,17,3.09035920443388e-05
9,18,0.00010476361919001469
9,19,-7.366659907779373e-05
9,20,4.7845111868140606e-05
10,1,9.161411018346755e-05
10,2,-6.718774646158096e-05
10,3,2.5610602931611922e-05
10,4,5.175693126382615e-06
10,5,-5.56665230258363e-05
10,6,-2.4407628522089536e-05
10,7,0.0001267705106133372
10,8,-4.728691534976304e-05
10,9,-4.204987022758603e-05
10,10,0.00027994025522532536
10,11,-0.00013922251899687476
10,12,3.743458033346551e-05
10,13,-5.142055025752582e-06
10,14,1.9995601335995122e-05
10,15,-1.76308476770297e-05
10,16,0.00013191392208456435
10,17,-1.5391088109240226e-05
10,18,0.00019973839637743535
10,19,2.404611387468513e-06
10,20,-6.729701802558699e-06
11,1,-0.00010349492284326163
11,2,0.00010205873981369936
11,3,-2.5264312474946727e-07
11,4,-3.3992689716564964e-05
11,5,4.95475014166516e-05
11,6,5.899477530392273e-05
11,7,-0.0001213413152948378
11,8,5.9356656553056014e-05
11,9,0.0001023910675419695
11,10,-0.00013922251899687476
11,11,0.0002555546814951121
11,12,-5.2494156084412514e-05
11,13,8.654232845463619e-06
11,14,-2.964842154168211e-05
11,15,7.538959276506168e-05
11,16,-0.00012365657097312757
11,17,4.105564401022628e-05
11,18,-0.00015540288636803373
11,19,-8.388941500328648e-05
11,20,2.3834216702583198e-05
12,1,7.06727013643789e-05
12,2,-3.468236473890799e-05
12,3,-3.4264709988975654e-05
12,4,4.143157457095961e-05
12,5,-6.207762952638717e-06
12,6,3.197366950010884e-06
12,7,4.4363250004885326e-05
12,8,-9.353611993496102e-06
12,9,-1.780593970065463e-05
12,10,3.743458033346551e-05
12,11,-5.2494156084412514e-05
12,12,0.0001425070794556391
12,13,6.908781119795689e-06
12,14,9.914129437860888e-06
12,15,-3.24922363334798e-05
12,16,4.421289811046007e-05
12,17,5.4080192580935725e-06
12,18,9.194517284271632e-05
12,19,4.4220921710485184e-05
12,20,1.1726130209498105e-05
13,1,1.012328793381436e-05
13,2,4.556030833275393e-05
13,3,-2.4984808789789075e-05
13,4,6.712896714555734e-05
13,5,6.789771023356367e-06
13,6,4.045678079432641e-05
13,7,-2.056825196374359e-05
13,8,-6.781810268884389e-06
13,9,8.773426357434259e-05
13,10,-5.142055025752582e-06
13,11,8.654232845463619e-06
13,12,6.908781119795689e-06
13,13,0.0001570854414699576
13,14,-5.911129504909745e-06
13,15,-2.0714183445123267e-05
13,16,-8.802701750873817e-05
13,17,-4.60170011661787e-06
13,18,6.996269502656457e-05
13,19,3.138739125373275e-06
13,20,-1.43372256748482e-05
14,1,1.5470432507984223e-05
14,2,-3.38051173371974e-05
14,3,2.385931897791787e-05
14,4,2.7328512276996708e-05
14,5,1.328765336122182e-05
14,6,-3.554312693424738e-05
14,7,4.2735911968389494e-05
14,8,-2.814612931964303e-05
14,9,-6.160566036086583e-06
14,10,1.9995601335995122e-05
14,11,-2.964842154168211e-05
14,12,9.914129437860888e-06
14,13,-5.911129504909745e-06
14,14,0.000119329855344262
14,15,-8.55957281877618e-06
14,16,4.176702673154923e-05
14,17,-1.8681233447750927e-05
14,18,3.0113824990978694e-05
14,19,3.895804857069462e-05
14,20,9.049682933106851e-06
15,1,-5.072651659442261e-05
15,2,4.458629282985961e-05
15,3,4.687800840678338e-05
15,4,-5.097504699397703e-05
15,5,3.12352515477594e-05
15,6,2.931459258431129e-05
15,7,-1.6031314543008345e-05
15,8,3.0131023201219493e-05
15,9,7.888306278625342e-05
15,10,-1.76308476770297e-05
15,11,7.538959276506168e-05
15,12,-3.24922363334798e-05
15,13,-2.0714183445123267e-05
15,14,-8.55957281877618e-06
15,15,0.00020441573057320358
15,16,1.7476432553959875e-05
15,17,4.384865759463833e-05
15,18,-3.527627322280501e-05
15,19,-9.915291018263963e-05
15,20,5.196384539724302e-05
16,1,8.806457200959528e-05
16,2,-0.00014215925172867352
16,3,5.2870049260985685e-05
16,4,-4.378846877503831e-05
16,5,-1.58926326604563e-05
16,6,-8.877775491207446e-05
16,7,0.00015957043512361657
16,8,-3.669113700356346e-05
16,9,-0.00013689085166727707
16,10,0.00013191392208456435
16,11,-0.00012365657097312757
16,12,4.421289811046007e-05
16,13,-8.802701750873817e-05
16,14,4.176702673154923e-05
16,15,1.7476432553959875e-05
16,16,0.000365777388311808
16,17,1.0366520270398899e-06
16,18,8.944256306654229e-05
16,19,4.239340170297213e-05
16,20,5.357990799800654e-05
17,1,9.15764536689917e-06
17,2,3.310036103257677e-05
17,3,-3.157255440325101e-05
17,4,-2.90260783984865e-05
17,5,2.505559361504246e-06
17,6,5.7954446964455445e-05
17,7,-2.6194336316348787e-05
17,8,4.582011653839005e-05
17,9,3.09035920443388e-05
17,10,-1.5391088109240226e-05
17,11,4.105564401022628e-05
17,12,5.4080192580935725e-06
17,13,-4.60170011661787e-06
17,14,-1.8681233447750927e-05
17,15,4.384865759463833e-05
17,16,1.0366520270398899e-06
17,17,0.00015360080877241638
17,18,4.175544552773871e-06
17,19,-6.024368899537287e-05
17,20,3.343856925096935e-05
18,1,0.00017648546494696048
18,2,-3.852981807816655e-05
18,3,-2.31862185220977e-05
18,4,0.00014754191961074975
18,5,-1.866526049624217e-05
18,6,3.7156553970702055e-05
18,7,0.00016007529400415699
18,8,-6.18369910132471e-05
18,9,0.00010476361919001469
18,10,0.00019973839637743535
18,11,-0.00015540288636803373
18,12,9.194517284271632e-05
18,13,6.996269502656457e-05
18,14,3.0113824990978694e-05
18,15,-3.527627322280501e-05
18,16,8.944256306654229e-05
18,17,4.175544552773871e-06
18,18,0.0005
18,19,3.8102568141884404e-05
18,20,2.940326571316696e-05
19,1,5.935023926145318e-05
19,2,-8.992965492021436e-05
19,3,-1.0605769140167167e-05
19,4,9.404667037152451e-05
19,5,1.590825697066464e-05
19,6,-8.22369121759871e-05
19,7,6.446122758758123e-05
19,8,-6.082114508557088e-05
19,9,-7.366659907779373e-05
19,10,2.404611387468513e-06
19,11,-8.388941500328648e-05
19,12,4.4220921710485184e-05
19,13,3.138739125373275e-06
19,14,3.895804857069462e-05
19,15,-9.915291018263963e-05
19,16,4.239340170297213e-05
19,17,-6.024368899537287e-05
19,18,3.8102568141884404e-05
19,19,0.0002613110131392979
19,20,-1.5918388107279298e-05
20,1,1.5147763941155197e-05
20,2,-3.283155498907145e-06
20,3,1.284050625677844e-05
20,4,1.0053545760330425e-05
20,5,3.8085957677679236e-05
20,6,1.068528506347402e-05
20,7,2.591395407724394e-05
20,8,1.0379264408198802e-05
20,9,4.7845111868140606e-05
20,10,-6.729701802558699e-06
20,11,2.3834216702583198e-05
20,12,1.1726130209498105e-05
20,13,-1.43372256748482e-05
20,14,9.049682933106851e-06
20,15,5.196384539724302e-05
20,16,5.357990799800654e-05
20,17,3.343856925096935e-05
20,18,2.940326571316696e-05
20,19,-1.5918388107279298e-05
20,20,0.00015952511991878168
