i,j,sigma
12,10,-8.759852696381633e-06
12,11,0.00011111754479178323
12,12,0.0004147005779854558
12,13,-0.00017746013582934422
12,14,-0.00014909548802865565
12,15,0.0001409426782097858
12,16,-0.00012958774253431522
12,17,5.9386587513203374e-05
12,18,0.00022770061829707956
12,19,-5.325038279788702e-05
12,20,1.3998539254859264e-05
13,1,0.00028864238329209227
13,2,-7.453850813402203e-05
13,3,-8.291076072724809e-05
13,4,-0.00014488191900425014
13,5,-0.00017430713174178478
13,6,7.271490782184832e-05
13,7,0.000214315707394403
13,8,0.00019549155689596421
13,9,-2.476895147419649e-05
13,10,1.7977236184994977e-05
13,11,-2.4301378459277612e-05
13,12,-0.00017746013582934422
13,13,0.0004086411545936832
13,14,0.00012296150661370242
13,15,-8.108198054023701e-05
13,16,2.764294539295697e-06
13,17,5.126879028466789e-05
13,18,-0.0001973827589393856
13,19,5.227714277259107e-05
13,20,-0.00017549430118122593
14,1,0.000156733140678591
14,2,7.288120927768197e-05
14,3,4.0761129697529665e-05
14,4,-5.686108537347318e-05
14,5,-0.00014715785688641992
14,6,-3.643783193764351e-05
14,7,0.0001551825186209155
14,8,5.730381422264121e-05
14,9,-3.693258387532284e-05
14,10,-9.144482439947432e-05
14,11,-7.674827862631743e-05
14,12,-0.00014909548802865565
14,13,0.00012296150661370242
14,14,0.0002544247346012961
14,15,-0.00017682597446914118
14,16,3.6118365339441536e-05
14,17,-2.532147807375672e-05
14,18,-0.00011632284244443339
14,19,2.7218925138494542e-05
14,20,-1.9842376648071965e-07
15,1,-7.672167232426205e-05
15,2,-9.692173260615202e-05
15,3,-0.00022996486525212205
15,4,-4.110089616936029e-05
15,5,0.0002056887023840547
15,6,5.180362242534198e-05
15,7,-0.00017258961395899243
15,8,-1.4248190071390801e-05
15,9,4.733409574988258e-05
15,10,0.00037064477470244434
15,11,0.00017145283928892975
15,12,0.0001409426782097858
15,13,-8.108198054023701e-05
15,14,-0.00017682597446914118
15,15,0.00058471540144155
15,16,1.3578808556925489e-05
15,17,1.0540889755424893e-05
15,18,7.347385049065463e-05
15,19,2.5886264086802735e-05
15,20,-0.00010811080550150708
16,1,0.00011423344508576125
16,2,0.00022443116252634124
16,3,6.913136039811718e-05
16,4,-9.217358965854442e-05
16,5,-0.00014484817196307986
16,6,-1.755095395481714e-05
16,7,-7.495738519416803e-06
16,8,-1.3735386279752768e-06
16,9,-6.967405754845478e-05
16,10,0.00010100281911142275
16,11,5.748830165285425e-05
16,12,-0.00012958774253431522
16,13,2.764294539295697e-06
16,14,3.6118365339441536e-05
16,15,1.3578808556925489e-05
16,16,0.0003431808540494458
16,17,-0.0001369319248249283
16,18,-0.0001339170267803429
16,19,3.70910474706406e-05
16,20,0.00017811374163335163
17,1,2.5877702864940467e-05
17,2,-0.00010005332636935626
17,3,2.557143861988587e-05
17,4,0.00018090599909686384
17,5,0.0002201025117311872
17,6,0.0001661830354120496
17,7,6.938615413617262e-05
17,8,-0.00010243632250162357
17,9,0.0001597456953017335
17,10,-9.974745054378965e-05
17,11,-5.9953784530306476e-05
17,12,5.9386587513203374e-05
17,13,5.126879028466789e-05
17,14,-2.532147807375672e-05
17,15,1.0540889755424893e-05
17,16,-0.0001369319248249283
17,17,0.0004864089178982719
17,18,-6.697959076974291e-05
17,19,-0.00017505714008847682
17,20,-0.00021873088334921532
18,1,-0.000312684029073603
18,2,-0.00015472163059879334
18,3,-4.4886535132502055e-05
18,4,7.96368427408002e-05
18,5,0.00014587204355995026
18,6,-8.315373102548408e-05
18,7,-0.0001877031875132233
18,8,-5.0717712503237693e-05
18,9,3.998967319594065e-06
18,10,-2.774082161293891e-05
18,11,1.8505234455579835e-05
18,12,0.00022770061829707956
18,13,-0.0001973827589393856
18,14,-0.00011632284244443339
18,15,7.347385049065463e-05
18,16,-0.0001339170267803429
18,17,-6.697959076974291e-05
18,18,0.00043358452015038754
18,19,2.1155033351561042e-05
18,20,3.458275683127755e-05
19,1,4.901266889287735e-05
19,2,-2.8336003059956562e-05
19,3,-0.00010981383400668466
19,4,-0.00015359501699095654
19,5,-0.0001328176145614848
19,6,-8.743076522493457e-05
19,7,1.9112613014759854e-05
19,8,0.00013049440257750962
19,9,-8.718431269935112e-05
19,10,0.00010315341052432923
19,11,3.114422282716082e-05
19,12,-5.325038279788702e-05
19,13,5.227714277259107e-05
19,14,2.7218925138494542e-05
19,15,2.5886264086802735e-05
19,16,3.70910474706406e-05
19,17,-0.00017505714008847682
19,18,2.1155033351561042e-05
19,19,0.00027228625738851903
19,20,9.852799800790385e-06
20,1,-0.00013425997702002374
20,2,0.00018642502182743566
20,3,0.00026053351424608226
20,4,-1.0238797362102034e-05
20,5,-0.00018694087613346257
20,6,7.693915127584026e-06
20,7,-0.00020249645393759127
20,8,-2.706479770098247e-05
20,9,-0.0001162467788279181
20,10,-7.938020588243499e-05
20,11,9.421127325562174e-05
20,12,1.3998539254859264e-05
20,13,-0.00017549430118122593
20,14,-1.9842376648071965e-07
20,15,-0.00010811080550150708
20,16,0.00017811374163335163
20,17,-0.00021873088334921532
20,18,3.458275683127755e-05
20,19,9.852799800790385e-06
20,20,0.0005431416573793098
